SZ300169,-141.38,-20.06,-12.16
SZ300170,1.64,5.55,3.54
SZ300171,0.59,2.05,6.01
SZ300172,2.84,17.06,-10.70
SZ300173,-0.96,-2.40,12.08
SZ300174,3.51,12.65,-4.50
SZ300175,-1.01,-5.08,-4.72
SZ300176,2.05,2.08,6.85
SZ300177,-1.53,-5.89,15.39
SZ300178,,-232.14,-86.44
SZ300179,4.30,10.75,-1.06
SZ300180,1.62,3.75,-16.61
SZ300181,12.85,23.71,11.99
SZ300182,1.76,10.32,-5.79
SZ300183,0.43,2.63,-9.46
SZ300184,2.54,2.38,17.46
SZ300186,5.63,12.93,41.69
SZ300187,6.42,19.35,13.60
SZ300188,-6.16,-38.72,1.63
SZ300189,-2.00,-14.11,38.66
SZ300190,-1.34,-4.56,-20.84
SZ300192,5.53,14.29,-1.15
SZ300193,4.70,17.45,-6.31
SZ300194,2.55,12.25,-35.76
SZ300195,0.19,0.44,-3.80
SZ300196,3.72,11.92,18.96
SZ300197,-52.24,-118.70,-20.90
SZ300198,-86.50,-220.09,-63.77
SZ300199,22.34,26.30,114.86
SZ300200,4.76,12.57,-4.12
SZ300201,5.30,10.97,53.86
SZ300204,-2.70,-23.28,-31.14
SZ300205,-8.06,-99.09,-85.63
SZ300206,7.55,16.99,-0.91
SZ300207,3.54,0.91,12.82
SZ300208,-22.97,-35.97,91.49
SZ300210,2.04,4.49,179.10
SZ300212,-55.53,-103.48,-9.31
SZ300213,-0.53,-2.88,-28.93
SZ300214,0.05,-0.12,37.04
SZ300215,-1.34,-10.96,-23.95
SZ300216,,-81.34,-45.51
SZ300217,2.59,5.70,-14.97
SZ300218,6.40,8.66,-2.40
SZ300219,0.60,0.86,6.45
SZ300221,3.50,4.51,23.99
SZ300222,4.56,5.92,7.17
SZ300223,1.67,8.97,6.75
SZ300224,2.84,3.79,20.42
SZ300225,1.01,1.99,5.66
SZ300226,5.79,0.62,-21.65
SZ300229,-1.80,-30.72,-38.36
SZ300230,3.53,10.52,17.01
SZ300231,2.95,5.83,7.36
SZ300232,2.53,3.14,7.38
SZ300234,1.01,10.87,-46.04
SZ300236,2.97,14.88,35.67
SZ300237,-162.68,-11.53,1.41
SZ300238,3.68,8.22,5.89
SZ300239,2.14,10.02,-16.93
SZ300240,2.09,1.23,-7.57
SZ300242,-10.41,-2.73,109.30
SZ300244,0.16,1.67,-20.61
SZ300245,-2.71,-15.18,49.82
SZ300247,4.36,14.83,29.81
SZ300248,-1.45,-11.77,-7.16
SZ300249,4.64,2.01,54.82
SZ300251,22.84,68.72,143.00
SZ300252,0.24,-0.55,17.89
SZ300253,-1.99,-14.64,-31.43
SZ300254,0.14,4.38,-7.01
SZ300255,-1.88,-7.37,-13.42
SZ300256,-1.11,-1.33,39.12
SZ300258,1.59,6.15,-2.00
SZ300259,2.66,17.66,24.39
SZ300260,5.39,7.63,-0.62
SZ300261,-0.43,-2.03,12.31
